	0
0	2008.389362335205
1	2022.3204262256622
2	2022.8198173046112
3	2021.044741153717
4	2026.8660233020782
5	2026.4023480415344
6	2027.773770570755
7	2026.4216129779816
8	2030.243771314621
9	2025.6260499954224
10	2025.9256448745728
11	2027.580459356308
12	2029.52845287323
13	2028.1962623596191
14	2029.7724225521088
15	2026.9164719581604
16	2027.7040631771088
17	2026.8256006240845
18	2029.0060696601868
19	2023.6137647628784
20	2027.9511880874634
21	2028.2675676345825
22	2024.1515040397644
23	2025.9986548423767
24	2025.600562095642
25	2026.9239592552185
26	2023.6116318702698
27	2023.3160665035248
28	2020.8065259456635
29	2027.8206453323364
